Combinación,labels,score
"[2, 'nearest_neighbors']",[1 1 0 ... 1 1 1],0.1624314796606464
"[2, 'rbf']",[0 0 0 ... 1 0 0],0.05809435168693106
"[2, 'laplacian']",[0 0 0 ... 1 0 0],0.05965245370982833
"[5, 'nearest_neighbors']",[1 1 2 ... 3 0 1],0.10051787887072909
"[5, 'rbf']",[4 4 0 ... 2 0 4],0.05396750355550075
"[5, 'laplacian']",[3 3 4 ... 1 4 3],0.11064494801575304
"[15, 'nearest_neighbors']",[ 1 11 14 ...  7  5  1],0.07820778830715516
"[15, 'rbf']",[11 11  4 ...  9  3 11],-0.010447606956148261
"[15, 'laplacian']",[12 12  6 ... 11  5 12],0.08938217524877387
"[40, 'nearest_neighbors']",[ 8  8 17 ...  5 27 24],0.06380436451495844
"[40, 'rbf']",[14 14 10 ...  5 21 14],0.016446030553253867
"[40, 'laplacian']",[32 32  6 ...  1  9 16],0.06776272065597914
"[100, 'nearest_neighbors']",[63 63 36 ... 73 13 94],0.049211126441481914
"[100, 'rbf']",[37 80 16 ... 12 41 43],0.03796377828997743
"[100, 'laplacian']",[45 76 71 ... 81 26 68],0.05415271323520363
