Combinación,labels,score
"[2, 'nearest_neighbors']",[1 1 0 ... 0 0 1],0.46431892893844723
"[2, 'rbf']",[0 0 0 ... 0 0 0],0.55273439417753
"[2, 'laplacian']",[0 0 0 ... 1 0 0],0.09649311960018014
"[5, 'nearest_neighbors']",[2 2 0 ... 1 0 2],0.1448616334385298
"[5, 'rbf']",[0 0 0 ... 0 0 0],0.5284918759434406
"[5, 'laplacian']",[0 0 0 ... 0 0 0],-0.168659625231194
"[15, 'nearest_neighbors']",[ 6  6 14 ... 12  0  2],0.09308024610660134
"[15, 'rbf']",[0 0 0 ... 0 0 0],-0.001988978748552831
"[15, 'laplacian']",[ 0 11 11 ...  0 14  0],-0.31394271385608297
"[40, 'nearest_neighbors']",[ 8  8  1 ... 16  1 33],0.05724967558526083
"[40, 'rbf']",[0 0 0 ... 0 0 0],-0.3071491832542294
"[40, 'laplacian']",[ 0 38 19 ...  0 38  0],-0.4041592007827629
"[100, 'nearest_neighbors']",[29 13 35 ...  4 94 85],0.036186592679236386
"[100, 'rbf']",[18 18 18 ... 18 86 18],-0.370104660261753
"[100, 'laplacian']",[84  0 72 ... 84 48 84],-0.4065895879529602
